analysis/Consensus/apping/custom/dothior,Count
Dothiorella_vidmadera,1436
Zymoseptoria_tritici,25
Tapesia_yallundae_CCL031,11
Fusarium_oxysporum,4
Penicillium_chrysogenum,3
CCL060,3
Pyrenophora_tritici-repentis,3
Aspergillus_niger,2
Candida_albicans,2
Kluyveromyces_marxianus,1
Yamadazyma_scolyti,1
Quambalaria_cyanescens,1
Wickerhamomyces_anomalus,1
Tapesia_yallundae_CCL029,1
Puccinia_striiformis_tritici,1
Cladophialophora_sp.,1
Scedosporium_boydii,1
Cryptococcus_zero,1
Rhodotorula_mucilaginosa,1
Clavispora_lusitaniae,1
