analysis/Consensus/apping/custom/kluyverom,Count
Cryptococcus_neoformans,1419
Kluyveromyces_marxianus,34
Wickerhamomyces_anomalus,9
Saccharomyces_cerevisiae,7
Yamadazyma_mexicana,5
Yamadazyma_scolyti,4
Yarrowia_lipolytica,2
Meyerozyma_guillermondii,2
Candida_orthopsilosis,2
Candida_zeylanoides,2
Pichia_membranifaciens,2
Dothiorella_vidmadera,1
CCL060,1
Cortinarius_globuliformis,1
Cryptococcus_zero,1
Geotrichum_candidum,1
Zygoascus_hellenicus,1
Kodamaea_ohmeri,1
Candida_parapsilosis,1
Galactomyces_geotrichum,1
CCL068,1
Cladophialophora_sp.,1
